# Kingletas modules kapelos modules can install, from the Composer repository named in etc/repositories.tsv.
# A dependency is installed only because a module needs it, and is never asked for by name.
# package	magento module	version	role	repository
kingletas/module-foundation	Kingletas_Foundation	^2.0	dependency	kingletas
kingletas/module-logger	Kingletas_Logger	^3.0	dependency	kingletas
kingletas/module-catalog-access	Kingletas_CatalogAccess	^2.0	module	kingletas
kingletas/module-promotion-access	Kingletas_PromotionAccess	^2.0	module	kingletas
kingletas/module-process-guard	Kingletas_ProcessGuard	^2.0	module	kingletas
kingletas/module-section-policy	Kingletas_SectionPolicy	^2.0	module	kingletas
kingletas/module-cache-vary	Kingletas_CacheVary	^2.0	module	kingletas
