# act, which kapelos ci runs a store's GitHub Actions workflows with. These checksums are Kapelos's own record,
# checked before a downloaded binary is ever run, so a release changed after the fact is refused.
# version	platform	sha256
v0.2.89	Linux_x86_64	0191d6f1f3b716b5c55820032605d05fc3c1cdbf581ebeff655019e5dd1524c0
v0.2.89	Linux_arm64	daa8679ba9615a74d2d0cec321dc593f21948a2a11bb65862b063d8b930f4bcb
v0.2.89	Darwin_x86_64	41b31488e7c254baec31cce12c7dade3e35973b8a31b9486206ad43f233d814e
v0.2.89	Darwin_arm64	48ae218af96725f7635a66de2b87e1e346893b02add0f16b92f560296b2151fc
